Event Name,Start Time,Address,Host,Url
The Art Business Conference New York 2025,2025-05-22 08:30,"300 Madison Avenue, New York, NY, US",Art Market Minds,https://www.eventbrite.co.uk/e/the-art-business-conference-new-york-2025-tickets-1231251118239
Riley Sager celebrates WITH A VENGEANCE at B&N Union Square,2025-06-09 18:00,"33 East 17th Street, New York, NY, US",Barnes & Noble - Union Square,https://www.eventbrite.com/e/riley-sager-celebrates-with-a-vengeance-at-bn-union-square-tickets-1259590983539
Courageous Women of the Met Museum Tour • NYC,2025-06-07 11:00,"1000 Fifth Avenue, New York, NY, US",Out Professionals,https://www.eventbrite.com/e/courageous-women-of-the-met-museum-tour-nyc-tickets-1288426160329
Everyday People,2025-06-08 16:00,"599 Johnson Avenue, Brooklyn, NY, US",Elsewhere,https://www.eventbrite.com/e/everyday-people-tickets-1290309042079
PUMPNATION- ISLAND ORCHID,2025-07-12 15:00,"145 Brooklyn Avenue, Brooklyn, NY, US",Pumpnation NYC,https://www.eventbrite.com/e/pumpnation-island-orchid-tickets-1250654714919
Sip of South America: A Wine Enthusiast Event Series,2025-06-09 18:00,"25 11th Avenue, New York, NY, US",Wine Enthusiast Media,https://www.eventbrite.com/e/sip-of-south-america-a-wine-enthusiast-event-series-tickets-1267669606919
Soho Forum Debate: Dave Smith vs. Alex Nowrasteh,2025-05-21 18:30,"18 Bleecker Street, New York, NY, US",The Soho Forum,https://www.eventbrite.com/e/soho-forum-debate-dave-smith-vs-alex-nowrasteh-tickets-1255851137559
Adam Aleksic: Algospeak,2025-07-14 19:00,"828 Broadway, New York, NY, US",The Strand Book Store,https://www.eventbrite.com/e/adam-aleksic-algospeak-tickets-1304446868699
Akeem Ali,2025-06-10 19:00,"599 Johnson Avenue, Brooklyn, NY, US",Elsewhere,https://www.eventbrite.com/e/akeem-ali-tickets-1271439703379
REVIVE BRUNCH & PUMP NYC 2025: Memorial Day Weekend Caribbean Rooftop Party,2025-05-25 11:00,"355 West 16th Street, New York, NY, US",ONLY CHAMPIONS,https://www.eventbrite.com/e/revive-brunch-pump-nyc-2025-memorial-day-weekend-caribbean-rooftop-party-tickets-1296678212439
2025 ANNUAL MEMBER MEETING,2025-05-20 09:30,"21 West 46th Street, New York, NY, US",French American Chamber of Commerce-NY,https://www.eventbrite.com/e/2025-annual-member-meeting-tickets-1291229856259
Fun With Friends Carnival,2025-05-24 14:30,"26 Navy St, Brooklyn, NY, US",Fun With Friends LLC,https://www.eventbrite.com/e/fun-with-friends-carnival-tickets-1265717076849
Hamilton v. Jefferson—The Fight That Shaped Our Nation  - SOLD OUT,2025-05-20 14:00,"145 West 45th Street, New York, NY, US",UVA Lifetime Learning,https://www.eventbrite.com/e/hamilton-v-jeffersonthe-fight-that-shaped-our-nation-sold-out-tickets-1272649301319
Rusowsky,2025-06-07 19:00,"599 Johnson Avenue, Brooklyn, NY, US",Elsewhere,https://www.eventbrite.com/e/rusowsky-tickets-1311966259399
NYC Thanksgiving Day Parade Viewing Brunch at GABRIEL'S RESTAURANT 2025,2025-11-27 07:30,"40 Central Park South, New York, NY, US",ThanksgivingParade.com,https://www.eventbrite.com/e/nyc-thanksgiving-day-parade-viewing-brunch-at-gabriels-restaurant-2025-tickets-1108915218269
High Notes (NY) By Fine Wine Series,2025-06-14 16:00,"500 Metropolitan Avenue, Brooklyn, NY, US",Fine Wine Series LLC.,https://www.eventbrite.com/e/high-notes-ny-by-fine-wine-series-tickets-1316447432709
REDKEN CANADA TAKES OVER NYC EXCHANGE,2025-08-11 09:00,"404 5th Avenue, New York, NY, US",Pulp Riot Canada,https://www.eventbrite.ca/e/redken-canada-takes-over-nyc-exchange-tickets-1267693819339
QUEENS Community Baby Shower,2025-06-07 11:00,"32-23 Queens Boulevard, Queens, NY, US",Krystal Heffney,https://www.eventbrite.com/e/queens-community-baby-shower-tickets-1315139390319
CMO Series Live 2025,2025-06-05 08:30,"849 6th Ave, New York, NY, US",Passle Inc,https://www.eventbrite.com/e/cmo-series-live-2025-tickets-1014389806217
Typographics Conference 2025,2025-06-27 09:00,"7 East 7th Street, New York, NY, US",Typographics Festival,https://www.eventbrite.com/e/typographics-conference-2025-tickets-1203784514889
NYC Video Game Festival,2025-05-31 09:00,"225 Liberty Street, New York, NY, US",NYC Mayor's Office of Media & Entertainment (MOME),https://www.eventbrite.com/e/nyc-video-game-festival-tickets-1301468851369
