Event Name,Start Time,Address,Guest Count,Hosts,Url
FOUR PAWS x CFF Screening @ Endangered Species Month: Presenting DETHRONED and Two Climate Shorts,2025-05-29T22:30:00.000Z,"Quad Cinema, 34 W 13th St, New York, NY 10011, USA",0,"Climate Film Fest, Jennifer, Saryn Chorney",https://lu.ma/rn4jgtq4
🎲✨ Casino Night with Matchbox! ✨🎲,2025-05-29T23:00:00.000Z,"20 W 23rd St 5th floor, New York, NY 10010, USA",0,Flatiron Social,https://lu.ma/nvp1p4cl
DeSciNYC: AI and Government in NYC,2025-05-29T23:00:00.000Z,,0,Michael Fischer,https://lu.ma/descinyc33
Inside Jokes,2025-05-30T01:30:00.000Z,"Flop House Comedy Club, 362 Grand St, Brooklyn, NY 11211, USA",0,"Jordan Perry, Erin Mikail Staples",https://lu.ma/0gx0bk5i
Tech Pickleball NYC,2025-05-30T11:30:00.000Z,"McCarren Park Tennis Courts, 50 Bedford Ave, Brooklyn, NY 11222, USA",1347,"John DiLoreto, Skyler Birk-Stachon, Optemization",https://lu.ma/9uxgw8l4
POSTPONED ✿ NEW DATE TBD ✿ Drawing Room Brooklyn Pre-Launch Party (in the park)!,2025-05-31T16:00:00.000Z,"McCarren Park, 776 Lorimer St, Brooklyn, NY 11222, USA",0,"Drawing Room, Adriana Gramly",https://lu.ma/0z0c7pjc
Women Investment Summit 2025,2025-06-02T13:00:00.000Z,"World Trade Center, New York, NY, USA",0,,https://lu.ma/2w3we8ri
Web3 & AI Pitch Competition & VC networking by Ga^3in Ventures x Fibonacci Capital at @TECHWEEK2025 in NYC,2025-06-02T14:00:00.000Z,"New York, NY, USA",0,"Sergey Khusnetdinov, Svetlana Khusnetdinova, Nina, Tech Week",https://lu.ma/jz5gdw3g
Clay Club: Pendants and Keychains,2025-06-02T22:30:00.000Z,"20 Grand Ave, Brooklyn, NY 11205, USA",0,RecCreate Collective,https://lu.ma/6iw8bnqr
Writers Club Spring Salon: Live Reading,2025-06-02T23:00:00.000Z,"dear friend books, 343A Tompkins Ave, Brooklyn, NY 11216, USA",43,Writers Club,https://lu.ma/g517e0b0
"Annual BROOKLYN TECH EXPO - June 3, 2025",2025-06-03T14:00:00.000Z,,133,Pulse NYC,https://lu.ma/brooklyn-tech-expo-june-2025
Latino Founders & Investors Speed Dating at Google | US & LatAm,2025-06-03T15:00:00.000Z,,0,"Andrés Cano, Colectivo",https://lu.ma/2zr61rju
Customer Success Happy Hour - #NYTechWeek,2025-06-03T22:00:00.000Z,"The Ready Rooftop Bar, 112 E 11th St, New York, NY 10003, USA",0,"Emma Lo, Cinthia Silva, Mike Rodgers",https://lu.ma/qteeuvhi
Influence and Advocacy for Engineering Leaders #NYTechWeek,2025-06-03T22:00:00.000Z,,133,"Benjamin You, Siri Kostanyan, Mykola Kurutin",https://lu.ma/zz7hlwc4
Tech Carnival NYC,2025-06-03T23:00:00.000Z,,0,"Brett Perlmutter, Bulletpitch",https://lu.ma/p9p3jd3m
Contech Pickleball Tournament & Networking,2025-06-04T20:00:00.000Z,,0,Contech Alliance,https://lu.ma/contechpickleball
Diskokina June 4,2025-06-05T00:00:00.000Z,"180 Maiden Ln, New York, NY 10038, USA",0,NEW INC,https://lu.ma/DEMO2025-diskokina-june4
AI Trailblazers Summer Summit,2025-06-05T12:30:00.000Z,,0,,https://lu.ma/747wkweb
Startup & Professional Networking,2025-06-05T21:00:00.000Z,"Sour Mouse, 110 Delancey St, New York, NY 10002, USA",58,"Startup+, Jaynish Shah",https://lu.ma/3epm7eq1
Tech Pickleball,2025-06-06T11:30:00.000Z,"McCarren Park Tennis Courts, 50 Bedford Ave, Brooklyn, NY 11222, USA",105,"John DiLoreto, Skyler Birk-Stachon, Optemization, Knock2",https://lu.ma/xz2bgdyi
The AI & Finance Conference,2025-06-06T13:00:00.000Z,"Civic Hall, 124 E 14th St, New York, NY 10003, USA",17,Blockchain NYC,https://lu.ma/8751yc11
NYC OceanTech Summit 2025,2025-06-06T17:00:00.000Z,,69,"William Lutz, Meredith, Delaney Demark, Caroline Williams",https://lu.ma/wwbomvw3
Freestyle Chess Tournament (5+0),2025-06-08T17:00:00.000Z,"Vanderbilt Market - Bars & Eateries, 230 Park Ave, New York, NY 10169, USA",5,M.J.,https://lu.ma/stmpajy9
Founder Debate Night By Antler & Satori,2025-06-09T21:30:00.000Z,"123 Allen St, New York, NY 10002, USA",24,"Kyle Ferguson, Kaila J. Lim, Jake Bernstein",https://lu.ma/9kgb58fh
Primary Bootcamp Crown Heights Meetup,2025-06-09T22:00:00.000Z,"The Crown Inn, 724 Franklin Ave, Brooklyn, NY 11238, USA",5,"Sachi Takahashi-Rial, Michelle Menchaca",https://lu.ma/il9dwpyx
Builders & Brews - Real Estate & Construction Networking,2025-06-10T22:00:00.000Z,"District Tap House, 246 W 38th St, New York, NY 10018, USA",37,Kyle Ferguson,https://lu.ma/lqcjlmu6
